"id";"name"
51;"Accounts Chart of Accounts"
52;"Accounts Journal"
49;"CRM Dashboard"
46;"CRM Follow Ups"
44;"CRM Lead"
47;"CRM Lost reason"
45;"CRM Opportunity"
48;"CRM Presale"
25;"HR Dashboard"
26;"HR Employee"
27;"HR masters"
28;"HR Recruitments"
60;"Masters Brand"
65;"Masters Payment Terms"
64;"Masters Stock"
59;"Masters Taxes"
61;"Masters Unit"
58;"Masters User Roles"
57;"Masters Users"
62;"Masters vendor"
63;"Masters Warehouse"
53;"Reports Balance Sheet"
54;"Reports Profit and Loss"
55;"Reports Trial Balance"
36;"Masters Customer"
50;"Sales Invoice"
35;"Masters Items"
11;"Sales Orders"
56;"Sales Payments Received"
37;"Sales Quotation"
